content,score,label_sentiment
"mau isi pulsa aja lama, delay trus. harus nunggu 2 jam paling lama baru bisa di proses transfer juga kadang suka delay.. edit : isi pulsa dari aplikasi semaleman blm masuk, keterangan transaksi sedang dalam proses...",1,Negative
Like it ...,5,Positive
"setiap hari pasti ada maintenance sistem, haduh",1,Negative
ribet dan tidak praktis,1,Negative
"JANGAN UPDATE, buat yg lain kalo ada permintaan update bjb digi jgn mau, saya setelah update app jd ga optimal, klik home malah keluar terus, pas masuk lg selalu minta aktivasi, ribet, ga memudahkan",1,Negative
not working.. 🥲,1,Negative
Ok,5,Positive
"layanannya tidak 24 jam, padahal aplikasi m-banking. tiap mau melakukan transaksi di tengah malam selalu gagal, tulisannya ""transaksi sedang diproses"" tapi gak ada kelanjutan. gimana klw ada yg butuh uang darurat di tengah malam coba",1,Negative
"Kode OTP tidak dikirim, padahal sudah berulang kali & nomor yang didaftarkan aktif & ada pulsa..",2,Negative
Sering gangguan,1,Negative
Ini aplikasi kagak bisa bayar listrik atau beli token,3,Neutral
APLIKASI BERBASIS PENIPUAN KHUSIUSNYA PEMBELIAN PULSA!! UANG DAH MEREKA AMBAT PULSA GAK MASUK!! PENGALAMAN SAYA BELASAN KALI !! BANK BJB benat2 BANKSAT,1,Negative
Good,5,Positive
"Semenjak update dan disuruh ganti pin jadi aneh, masukin kode OTP aja eror trs, padahal udh sesuai dgn yang dikirim ke Gmail 🤦🏻‍♂️",1,Negative
"Setiap mau buka app, ada notif ""telah terjadi kesalahan"" Jadi sama skali tak dapat diakses. Seharusnya app seperti ini jangan sampai error. Sekarang kan apapun pakai e wallet, kalau app nya error, tentu menyulitkan kami. Professional dong mengelolanta",1,Negative
"Mau buka M-banking tapi disuruh ganti password, tapi OTP gak dikirim2 ga jelas. Kalo kantor bisa gak pake ini bank, mending gausah pake dah. Problemnya banyak tapi gak diberesin",1,Negative
Sering tidak bisa berfungsi fitur bayar via QRIS apalagi saat hujan. Fitur tampilkan QRIS pribadi juga susah ditemukan. Semoga diperbaiki,2,Negative
"Sering error, ATM tak bisa digunakan untuk menarik uang, pin mobile digi tiba-tiba diinfokan salah input padahal belum pernah ganti, mau aktivasi lewat ATM, ATM diblokir karena katanya salah password terus. Banyak kendalanya.",2,Negative
"Sudah hampir 1 minggu kode otp tidak masuk2 ke sms. Edit : ok ketemu juga solusi nya, ternyata kode otp butuh pulsa juga",4,Positive
"Menu beli token listrik g ada..🫣 Yg dipentingin cuma lokasi user...ngapain, coba..?!",1,Negative
Sering tidak bisa di buka. Atau loading terus. Kenapa ya,2,Negative
Tolong untuk update berikutnya diadakan notifikasi setiap ada saldo masuk atau transaksi apapun seperti yg ada di brimo,2,Negative
Ribet harus ganti pin mlu.,2,Negative
"Jika sekiranya menghadirkan fitur e-wallet, tolong system/server untuk sending saldonya diperbaiki lagi, karna saya mencoba untuk transfer ke e-wallet DANA itu selalu gagal untuk transfer, saya tidak mengerti, padahal sinyal saya lancar, dan location sudah aktif, tapi beberapa kali saya coba tetap saja gagal untuk transfer ke DANA, walaupun saya sudah mencoba untuk update aplikasi, tetap saja tidak berpengaruh, SAYA MOHON UNTUK CEPAT² DIBENAHI SYSTEMNYA🙏🙏",1,Negative
Easy to use,5,Positive
Sering eror,2,Negative
"Tidak bisa lagi transaksi cardless di atm bjb, di menu tidak mucul pilihan atm, hanya gerai yg muncul.",2,Negative
"Setelah update jadi nggak bisa lihat saldo sama mutasi secara private, aplikasi jelek.., masa semua orang bisa lihat saldo sama mutasi kita dengan swipe doang?",1,Negative
"ada beberapa fitur yang gabisa dipakai lagi (BJB Cardless via atm udh gabisa, top up e-wallet gabisa,dll)",2,Negative
Good,5,Positive
"Pakai mbanking karena pakai ATM juga serasa percuma. Mesin atm BJB sangat langka. Pakai atm bank lain kena biaya dg limit penarikan kecil. BIAYA bulanan 22.500 wow! Eh.... Transfer via mbanking juga sering error apk nya hadeuhhhh... Kalau bukan karena terima gaji PNS, tak akan kusentuh lagi dan tak akan kutengok lagi tuh bjb wkwkwkwk",1,Negative
Sudah lebih baik,3,Neutral
"Terima kasih sudah memperbaiki aplikasi ini, sekarang sudah bisa dipakai dengan lancar",5,Positive
"mudah digunakan dan jarang error tidak seperti digi satu lagi, tetapi fitur cardless tarik tunai di atm dihilangkan",3,Neutral
Bikin apps nya ga serius. Msh ada bug tetep dipaksain rilis. Parah..,1,Negative
"Fitur pembukaan rekening via online cuma tipu2 saja. Setelah isi data panjang di online, tetap harus ke kantor cabang dan proses antri biasa lagi. Mau bangun reputasi baik dari mana jika dari buka rekening awal saja sudah gagal. Becanda sekali ini bank.",1,Negative
Salah satu app.paling jelek di perbanķan.. tiba2 ada update. Terus ke logout mau login lagi status ke blok.... emang paling jelek bank bjb soal pelayanan. Sampah,1,Negative
Cardless ko cuma bisa di indomaret saja dgn biaya 5000. Hallo bjb. Knp ga bisa d atm. Makin kesini ko pelayanannya makin kesana..edit ah ** 2 bt notice nya. Tp Masa harus review dlu bru ngSih tau app ad yg baru.. ayo bertumbuh lebih dewasa..,2,Negative
"Ribet banget asli, nyuruh ganti pin tapi kode OTPnya harus dikirim via pulsa sms. Seberapa banyak sih orang yg punya pulsa sms di masa ini?? Sementara mau isi pulsa belinya kan dari aplikasi bjb, sementara mau masuk direject aja karena harus ganti pin. Jadi saya gimana beli pulsanya? Minta tolong orang? Beli di counter? PR BANGET YAH!!",1,Negative
"Pilihan fitur cardless di hilangkan? Ga bisa ngambil di atm? Cuma bisa ngambil di indomart, apaan dah",1,Negative
Boleh tolong diadain lagi layanan PLN,4,Positive
Keren banget,5,Positive
Ini kenapa jadi enggak bisa narik uang non kartu pada mesin agm BJB,3,Neutral
"Mau ambil gaji di suruh ganti password, tp kode otp d kirim ke email lamaa banget nunggunya sampe berkali2 di cek ga ada. Pas ada udah ga berlaku hrs nunggu ulangi lg prosesnya. Kesel banget dr siang nungguin sampe skrg gabisa. kl ga dipake buat gaji ga akan dipake",1,Negative
setelah sekian lama. alhamdulillah bisa top up shopee pay lagi,5,Positive
"balikin ke versi dulu aja, ribet banget si ni aplikasi! error mulu!",5,Positive
Praktis dan mudah digunakan. Security juga ok karena rutin disarankan untuk pergantian password setiap beberapa bulan sekali,5,Positive
Tampilannya bagus 👍,5,Positive
Sering gangguan ah,5,Positive
Mantap,5,Positive
"Wallahi kenapa selalu dipersulit, sudah bagus tarik tunai cardless, malah sekarang only via gerai, charge fee nya ga banyak beda dari tarik tunai pake kartu lain. Makin lama semakin merasa direpotkan. Nambah fasilitas penarikan di gerai bagus, eh malah dihilangkan penarikan lewat ATM. Ga ngerti lagi, ga pernah ga emosi klo transaksi.",1,Negative
semakin keren dan memudahkan pengguna,5,Positive
Mantap,5,Positive
Good app,5,Positive
"User friendly, sangat membantu transaksi sehari hari",5,Positive
Penurunan pelayanan. Menu cardless dihilangkan adalah sebuah langkah tepat dan sangat cerdas untuk mempersulit nasabah.,1,Negative
"Maaf admin ini menu bjb cardless nya koq ga ada pilihan mngambil d ATM y cuman ada gerai? Sebelum²nya ada, jd susah mo cardless hrz k indomaret",3,Neutral
Keren pisan,5,Positive
"Good apps , mempermudah utk segala transaksi 👍🏻",5,Positive
Mantap sangat mudah digunakan dan user experience mudah dijalankan 👍👍,5,Positive
Great one,5,Positive
Menyusahkan sekali,1,Negative
"Aplikasi lancar, mudah digunakan, dan fitur lengkap",5,Positive
Good,5,Positive
It 's Easy to use...anti ribet,5,Positive
Sangat Membantu dalam Bertransaksi👍🏼,5,Positive
Proud,5,Positive
sangat mengakomodir kebutuhan transaksi saya,5,Positive
Very good 👍,5,Positive
Sangat mudah digunakan,5,Positive
Great,5,Positive
Cool👍,5,Positive
Aplikasinya mudah digunakan 🫰,5,Positive
Bikin semua urusan jadi lebih mudah,5,Positive
User friendly banget ternyata,5,Positive
Easy to used and simple,5,Positive
"UI/UX nya friendly bgt mudah di gunakan, praktis bisa bayar macem2 👍",5,Positive
Sering gangguan dalam top up e wallet,2,Negative
Ini kenapa sekarang fitur cardless gak bisa di ATM ya? Kenapa harus ke indomaret??,2,Negative
"Sampah, masa harus reset, reinstall, mengganti device",1,Negative
"Sekarang jadi makin susah pake mbanking ini. Mau tf Shopee engga bisa, bayar listrik juga engga bisa",3,Neutral
Bjb card less sudah bisa di ATM hanya di gerai. Mohon dibenahi.,2,Negative
"Cardless nya sangat membantu, DULU, ko sekarang gak bisa ambil di atm sih?? Deuhhh",1,Negative
"gangguaan teruss, saldo kepotong terus tanpa ada transaksi apapun",1,Negative
"Waduh padahal sudah enak ada menu cardless di atm, knpa sekrang malah hilang?",3,Neutral
Bjb cardless kok ga bisa di ATM?,1,Negative
"Top up shopeepay selalu error, BJB cardless jadi ga bisa di ATM :(",1,Negative
Kenapa fitur bjb cardless via atm dihilangkan? Kemunduran untuk BJB 👎🏽,1,Negative
Kacau,1,Negative
Jadi gak bisa cardles lagi. Menyusahkan,1,Negative
"Stelah token listrik, topup shopeepay yg mulai tdk bs digunakan. Skrg ditambah 1 fitur lg yg hilang/tdk bs digunakan, BJB Cardless melalui ATM.",2,Negative
"Udah bagus, tapi gak ada top up E-walet dana",5,Positive
"Mohon di perbaiki lgi, krna skrg ga bisa beli token listrik, ga bisa beli pulsa xl, ga bisa isi shoppepay, jd ga efisien",3,Neutral
Sering sekali tidak bisa melakukan transaksi top up e-wallet shopee dan juga membeli token listrik. Sudah terjadi berkali² fitur tidak dapat digunakan.,1,Negative
"Bayar pln ga bisa, top up spay ga bisa 😡",1,Negative
Ok,5,Positive
"Sayang banget, udah ada digi udah ada 3 rekening termasuk tandamata berjangka tapi yang bisa connect ke m bankingnya cuman 1 rekening aja. Next mungkin maintenance nya di kembangkan lagi. Supaya lebih mudah dan praktis. Masa kalau 3 rekening harus 3 perangkat HP yang berbeda padahal data masih sama orangnya juga masih sama. Huft sayang banget",1,Negative
"Setiap pagi, selalu terjadi kesalahan saat cek saldo rekening, dan pada saat itu juga tidak bisa transaksi QRIS",1,Negative
"Kembali masalah, tidak bisa topup e money market place dan beli token listrik..",3,Neutral
"Masa mau pindah perangkat untuk mobil banking aja saya harus ke atm/ke cabang, harap tingkatkan kualitas dan kemudahan nya",1,Negative
"saya benar benar kecewa dengan aplikasi ini, setiap melakukan pembayaran muncul kode 0076. saya mohon tolong diperbaiki dan dimudahkan segala transaksinya tanpa ada kode 0076 lagi! ingat ini bukan masalah diprovider yang saya pakai, tapi aplikasi ini sangat buruk wajib diperbaiki",1,Negative
Aplikasi tolol disuruh ganti pin tapi gabisa dikasih pilihan untuk masukin huruf.,1,Negative
bjb mobile saya error padahal saya sedang di luar kota dan ada transaksi urgent. Saya sudah email ke bjb care. Mohon ditindaklanjuti,3,Neutral
Kadang data rekening tidak singkron,1,Negative
"App tdk bsa d gunakan, eror 0014 padahal no rek aktiv. Tlp CS, mqlah menyqlahkan mo rek lain, pdhl no rek masi di gunakan transaksi. Jika masalah system, tinggl bilang maaf system kami mengalami kendala, tdk prlu memyalahkan no rek bank lain yg masi saya gunakan. CS tdk bs mnyelesaikan masalah. Al hasil lbh baik uninstal, buang2 waktu.",1,Negative
Good,5,Positive
nggak bisa daftarin akunnya,1,Negative
"Niatnya pen instal, setelah baca review malah bikin meresahkan",1,Negative
Buruk amat punya aplikasi.,1,Negative
"Mohon maaf, kalau reset kode aja disuruh ke bank lantas gunanya buat aplikasi maha canggih apa ya kalau saya boleh tahu? Menurut jajaran bjb nasabah nya itu pengangguran yg punya banyak waktu luang kah?",1,Negative
"Halo BJB, mohon ditingkatkan pelayanannya. Aplikasi sering eror, Pelayanan CS lambat dan beberapa orang pelayan disana banyak yang judes. Terima Kasih",2,Negative
Mbanking oke. Yang bikin ribet klo pindah hp harus regis ulang. Regisnya harus ke cs.,2,Negative
Tidak terdapat informasi debet rekening yg kemungkinan dilakukan oleh system secara otomatis,3,Neutral
